order_id,customer_id,ship_mode,ship_date,address_id
CA-2016-152156,CG-12520,Second Class,11/11/2016,1
CA-2016-138688,DV-13045,Second Class,6/16/2016,2
US-2015-108966,SO-20335,Standard Class,10/18/2015,3
CA-2014-115812,BH-11710,Standard Class,6/14/2014,4
CA-2017-114412,AA-10480,Standard Class,4/20/2017,5
CA-2016-161389,IM-15070,Standard Class,12/10/2016,6
US-2015-118983,HP-14815,Standard Class,11/26/2015,7
CA-2014-105893,PK-19075,Standard Class,11/18/2014,8
CA-2014-167164,AG-10270,Second Class,5/15/2014,9
CA-2014-143336,ZD-21925,Second Class,9/1/2014,10
CA-2016-137330,KB-16585,Standard Class,12/13/2016,11
US-2017-156909,SF-20065,Second Class,7/18/2017,12
CA-2015-106320,EB-13870,Standard Class,9/30/2015,13
CA-2016-121755,EH-13945,Second Class,1/20/2016,14
US-2015-150630,TB-21520,Standard Class,9/21/2015,15
CA-2017-107727,MA-17560,Second Class,10/23/2017,16
CA-2016-117590,GH-14485,First Class,12/10/2016,17
CA-2015-117415,SN-20710,Standard Class,12/31/2015,18
CA-2017-120999,LC-16930,Standard Class,9/15/2017,19
CA-2016-101343,RA-19885,Standard Class,7/22/2016,20
CA-2017-139619,ES-14080,Standard Class,9/23/2017,21
CA-2016-118255,ON-18715,First Class,3/13/2016,22
CA-2014-146703,PO-18865,Second Class,10/25/2014,23
CA-2016-169194,LH-16900,Standard Class,6/25/2016,24
CA-2015-115742,DP-13000,Standard Class,4/22/2015,25
CA-2016-105816,JM-15265,Standard Class,12/17/2016,26
CA-2016-111682,TB-21055,First Class,6/18/2016,27
CA-2015-135545,KM-16720,Standard Class,11/30/2015,28
US-2015-164175,PS-18970,Standard Class,5/5/2015,29
CA-2014-106376,BS-11590,Standard Class,12/10/2014,30
CA-2016-119823,KD-16270,First Class,6/6/2016,31
CA-2016-106075,HM-14980,Standard Class,9/23/2016,32
CA-2017-114440,TB-21520,Second Class,9/17/2017,33
US-2015-134026,JE-15745,Standard Class,5/2/2015,34
US-2017-118038,KB-16600,First Class,12/11/2017,35
US-2014-147606,JE-15745,Second Class,12/1/2014,36
CA-2016-127208,SC-20770,First Class,6/15/2016,37
CA-2014-139451,DN-13690,Standard Class,10/16/2014,38
CA-2015-149734,JC-16105,Standard Class,9/8/2015,39
US-2017-119662,CS-12400,First Class,11/16/2017,40
CA-2017-140088,PO-18865,Second Class,5/30/2017,41
CA-2017-155558,PG-18895,Standard Class,11/2/2017,42
CA-2016-159695,GM-14455,Second Class,4/10/2016,43
CA-2016-109806,JS-15685,Standard Class,9/22/2016,44
CA-2015-149587,KB-16315,Second Class,2/5/2015,45
US-2017-109484,RB-19705,Standard Class,11/12/2017,46
CA-2017-161018,PN-18775,Second Class,11/11/2017,47
CA-2017-157833,KD-16345,First Class,6/20/2017,48
CA-2016-149223,ER-13855,Standard Class,9/11/2016,49
CA-2016-158568,RB-19465,Standard Class,9/2/2016,50
CA-2016-129903,GZ-14470,Second Class,12/4/2016,51
US-2015-156867,LC-16870,Standard Class,11/17/2015,52
CA-2017-119004,JM-15250,Standard Class,11/28/2017,53
CA-2015-129476,PA-19060,Standard Class,10/20/2015,54
CA-2017-146780,CV-12805,Standard Class,12/30/2017,55
CA-2016-128867,CL-12565,Standard Class,11/10/2016,56
CA-2014-115259,RC-19960,Second Class,8/27/2014,57
CA-2015-110457,DK-13090,Standard Class,3/6/2015,58
US-2015-136476,GG-14650,Standard Class,4/10/2015,59
CA-2016-103730,SC-20725,First Class,6/15/2016,60
US-2014-152030,AD-10180,Second Class,12/28/2014,61
US-2014-134614,PF-19165,Standard Class,9/25/2014,62
US-2017-107272,TS-21610,Standard Class,11/12/2017,63
US-2016-125969,LS-16975,Second Class,11/10/2016,64
US-2017-164147,DW-13585,First Class,2/5/2017,65
CA-2016-145583,LC-16885,Standard Class,10/19/2016,66
CA-2016-110366,JD-15895,Second Class,9/7/2016,67
CA-2017-106180,SH-19975,Standard Class,9/23/2017,68
CA-2017-155376,SG-20080,Standard Class,12/27/2017,69
CA-2015-110744,HA-14920,Standard Class,9/12/2015,70
CA-2014-110072,MG-17680,Standard Class,10/28/2014,71
CA-2016-114489,JE-16165,Standard Class,12/9/2016,72
CA-2016-158834,TW-21025,First Class,3/16/2016,73
